age,job,marital,education,balance,housing,loan,contact,day,month,duration
32,self-employed,married,secondary,-1668,yes,yes,cellular,16,jul,166
31,services,married,secondary,-455,no,yes,cellular,16,jul,168
59,management,divorced,tertiary,-232,no,yes,cellular,16,jul,97
40,blue-collar,married,primary,1206,no,yes,telephone,16,jul,201
39,self-employed,married,tertiary,1238,yes,no,cellular,16,jul,212
48,entrepreneur,married,secondary,151,no,no,cellular,16,jul,191
25,blue-collar,single,secondary,195,no,no,cellular,16,jul,1339
59,management,married,tertiary,220,yes,no,telephone,16,jul,30
29,admin.,single,secondary,454,no,no,telephone,16,jul,127
42,technician,married,secondary,166,no,no,cellular,16,jul,319
38,admin.,married,secondary,0,yes,no,telephone,16,jul,284
38,admin.,married,secondary,0,yes,no,telephone,16,jul,264
58,retired,married,primary,91,no,yes,cellular,16,jul,204
38,services,married,secondary,0,no,yes,cellular,16,jul,1473
31,management,married,tertiary,-1038,yes,no,cellular,16,jul,255
37,admin.,married,secondary,764,yes,no,cellular,16,jul,108
32,admin.,married,secondary,0,yes,no,cellular,16,jul,524
55,blue-collar,married,secondary,3919,no,no,cellular,16,jul,26
37,blue-collar,married,secondary,680,yes,yes,cellular,16,jul,613
45,technician,married,secondary,-312,yes,no,cellular,16,jul,268
29,management,married,tertiary,16,yes,no,cellular,16,jul,605
33,services,single,primary,92,yes,no,cellular,17,jul,63
49,retired,married,primary,1672,no,no,cellular,17,jul,128
36,technician,married,secondary,522,yes,no,cellular,17,jul,185
47,unemployed,married,secondary,49,yes,no,cellular,17,jul,66
59,management,married,primary,120,no,yes,cellular,17,jul,102
42,retired,married,primary,127,no,yes,cellular,17,jul,199
38,blue-collar,single,tertiary,14058,no,no,telephone,17,jul,293
51,services,married,primary,320,no,yes,cellular,17,jul,59
37,blue-collar,married,secondary,-26,no,no,telephone,17,jul,209
39,self-employed,married,secondary,167,yes,yes,cellular,17,jul,330
51,blue-collar,married,primary,0,no,yes,telephone,17,jul,299
27,management,married,tertiary,4909,no,yes,cellular,17,jul,159
43,management,married,primary,1880,yes,no,cellular,17,jul,63
37,technician,married,secondary,1142,yes,no,cellular,17,jul,309
49,management,married,tertiary,78,no,yes,cellular,17,jul,257
37,services,single,secondary,43,yes,no,cellular,17,jul,36
52,technician,married,secondary,272,no,yes,cellular,17,jul,53
42,blue-collar,married,primary,0,yes,no,cellular,17,jul,71
34,blue-collar,married,secondary,808,yes,yes,cellular,17,jul,20
37,management,married,secondary,33,no,yes,cellular,17,jul,117
50,blue-collar,married,secondary,1832,yes,no,cellular,17,jul,80
48,admin.,married,secondary,0,yes,no,cellular,17,jul,109
49,management,married,tertiary,964,yes,yes,cellular,17,jul,201
42,services,married,primary,0,no,no,cellular,17,jul,397
39,admin.,married,secondary,0,yes,no,cellular,17,jul,69
58,blue-collar,divorced,secondary,543,no,yes,telephone,17,jul,264
31,technician,single,tertiary,0,yes,no,cellular,17,jul,90
34,management,married,secondary,29,no,yes,cellular,17,jul,94
52,entrepreneur,married,secondary,10,no,yes,cellular,17,jul,72
43,entrepreneur,married,secondary,556,yes,no,cellular,17,jul,317
26,blue-collar,married,secondary,-11,yes,yes,cellular,17,jul,1150
36,technician,married,secondary,-179,yes,no,cellular,17,jul,144
26,entrepreneur,married,secondary,-142,yes,no,cellular,17,jul,126
34,services,married,secondary,40,yes,no,cellular,17,jul,302
49,technician,married,tertiary,80,no,no,cellular,17,jul,123
27,admin.,single,secondary,180,no,yes,cellular,17,jul,114
29,blue-collar,married,secondary,723,no,yes,cellular,17,jul,235
44,blue-collar,married,primary,10,yes,no,cellular,17,jul,196
40,services,married,secondary,518,no,no,telephone,17,jul,84
36,management,married,tertiary,-633,yes,no,cellular,17,jul,106
32,management,married,tertiary,958,yes,no,telephone,17,jul,151
30,services,married,secondary,7032,no,no,cellular,17,jul,102
55,retired,married,secondary,119,no,yes,cellular,17,jul,521
32,management,married,tertiary,710,yes,no,cellular,17,jul,181
35,admin.,married,secondary,0,no,no,cellular,17,jul,80
37,self-employed,married,secondary,0,yes,no,cellular,17,jul,158
53,services,married,secondary,0,yes,no,cellular,17,jul,187
55,retired,divorced,secondary,138,no,no,cellular,17,jul,205
46,entrepreneur,married,secondary,294,yes,no,cellular,17,jul,228
26,blue-collar,single,secondary,4146,no,no,cellular,17,jul,628
51,technician,married,secondary,563,yes,no,cellular,17,jul,117
55,unemployed,divorced,secondary,79,yes,no,cellular,17,jul,418
40,admin.,married,secondary,-769,yes,yes,cellular,17,jul,64
60,entrepreneur,married,primary,83,yes,no,cellular,17,jul,302
35,housemaid,married,primary,113,yes,no,cellular,17,jul,923
41,housemaid,married,primary,15,no,yes,telephone,17,jul,17
42,admin.,married,secondary,1279,yes,no,cellular,17,jul,50
36,blue-collar,married,secondary,0,yes,no,cellular,17,jul,72
27,housemaid,married,secondary,0,no,yes,cellular,17,jul,72
52,admin.,divorced,secondary,1426,no,no,cellular,17,jul,115
36,services,single,secondary,80,no,yes,cellular,17,jul,258
30,services,married,secondary,1286,yes,yes,cellular,17,jul,544
30,management,married,tertiary,3134,yes,no,cellular,17,jul,124
52,blue-collar,married,secondary,1405,no,yes,cellular,17,jul,753
42,technician,single,secondary,1977,no,no,cellular,17,jul,72
45,management,married,tertiary,668,no,yes,cellular,17,jul,391
32,admin.,divorced,secondary,2017,no,yes,cellular,17,jul,686
42,services,divorced,secondary,138,no,no,cellular,17,jul,324
42,admin.,single,tertiary,168,yes,no,cellular,17,jul,295
30,management,single,tertiary,4,yes,no,cellular,17,jul,284
31,technician,single,unknown,187,no,no,cellular,17,jul,86
48,blue-collar,married,secondary,1513,no,yes,cellular,17,jul,1171
42,blue-collar,married,secondary,5639,yes,no,cellular,17,jul,430
46,management,divorced,tertiary,-154,no,no,cellular,17,jul,201
38,management,divorced,tertiary,151,yes,no,cellular,17,jul,50
46,admin.,divorced,primary,509,no,no,cellular,17,jul,272
33,blue-collar,married,secondary,-260,yes,yes,cellular,17,jul,224
56,blue-collar,married,primary,0,yes,no,cellular,17,jul,82
34,admin.,married,secondary,255,no,yes,telephone,17,jul,344
39,management,married,primary,3760,no,yes,cellular,17,jul,262
27,management,married,tertiary,342,yes,no,cellular,17,jul,818
48,housemaid,married,primary,379,no,no,cellular,17,jul,402
35,management,married,tertiary,0,no,no,cellular,17,jul,127
48,technician,married,tertiary,658,yes,no,cellular,17,jul,89
29,management,married,tertiary,727,yes,no,cellular,17,jul,87
30,admin.,married,secondary,-44,yes,no,cellular,17,jul,97
34,management,married,tertiary,3064,yes,no,cellular,17,jul,324
35,admin.,divorced,secondary,20,no,yes,cellular,17,jul,287
48,entrepreneur,married,tertiary,461,no,yes,cellular,17,jul,284
32,management,married,secondary,14611,yes,no,cellular,17,jul,67
43,blue-collar,married,secondary,833,no,no,cellular,17,jul,156
51,management,married,tertiary,333,no,yes,cellular,17,jul,234
34,services,divorced,secondary,797,yes,no,cellular,17,jul,54
27,housemaid,married,secondary,65,yes,yes,cellular,17,jul,59
25,self-employed,single,tertiary,453,yes,no,cellular,17,jul,134
57,services,married,primary,443,no,no,telephone,17,jul,167
29,services,single,secondary,0,no,no,cellular,17,jul,58
47,blue-collar,married,primary,840,no,yes,cellular,17,jul,509
34,admin.,married,secondary,-191,yes,no,cellular,17,jul,156
26,self-employed,single,tertiary,82,yes,no,cellular,17,jul,200
35,unemployed,single,secondary,145,no,no,cellular,17,jul,354
31,blue-collar,single,primary,528,yes,no,cellular,17,jul,143
25,student,single,secondary,963,yes,no,cellular,17,jul,28
31,management,single,tertiary,2336,no,no,cellular,17,jul,224
55,management,single,tertiary,6507,yes,yes,cellular,17,jul,109
32,blue-collar,single,secondary,118,yes,no,cellular,17,jul,1275
30,management,married,tertiary,931,no,no,cellular,17,jul,1183
39,technician,married,secondary,251,yes,no,cellular,17,jul,342
28,blue-collar,married,secondary,379,no,yes,cellular,17,jul,164
30,management,married,tertiary,248,no,no,cellular,17,jul,692
46,technician,divorced,secondary,-154,yes,no,cellular,17,jul,158
53,management,married,tertiary,1348,no,yes,cellular,17,jul,120
25,services,married,secondary,10,yes,no,cellular,17,jul,114
34,management,married,tertiary,4943,yes,no,cellular,17,jul,118
58,services,married,secondary,553,no,yes,telephone,17,jul,109
31,blue-collar,married,secondary,212,yes,yes,cellular,17,jul,143
32,admin.,married,secondary,1031,yes,no,cellular,17,jul,84
58,admin.,married,secondary,1813,yes,no,telephone,17,jul,15
42,technician,married,secondary,782,yes,no,cellular,17,jul,536
60,retired,divorced,tertiary,129,no,no,cellular,17,jul,490
43,admin.,divorced,secondary,587,yes,no,cellular,17,jul,282
31,blue-collar,divorced,secondary,-277,yes,no,telephone,17,jul,1008
52,management,married,tertiary,1564,yes,no,cellular,17,jul,493
32,technician,married,tertiary,133,yes,no,cellular,17,jul,421
27,blue-collar,married,secondary,1,yes,no,cellular,17,jul,259
37,management,married,tertiary,50,no,yes,cellular,17,jul,105
39,management,married,tertiary,0,yes,yes,cellular,17,jul,301
30,services,divorced,secondary,21,no,no,cellular,17,jul,49
31,services,single,secondary,2251,yes,yes,cellular,17,jul,134
31,technician,married,tertiary,2951,yes,no,cellular,17,jul,115
26,services,single,secondary,-189,no,yes,cellular,17,jul,538
47,management,married,unknown,555,yes,no,cellular,17,jul,179
50,blue-collar,married,primary,216,yes,no,cellular,17,jul,195
42,management,married,tertiary,4,yes,no,cellular,17,jul,795
59,admin.,married,secondary,-797,no,yes,cellular,17,jul,225
32,technician,married,secondary,348,yes,no,cellular,17,jul,926
50,technician,divorced,tertiary,291,no,yes,cellular,17,jul,219
29,technician,single,tertiary,406,yes,no,cellular,17,jul,119
28,management,married,tertiary,3516,no,no,cellular,17,jul,232
57,management,divorced,tertiary,429,yes,no,cellular,17,jul,245
39,blue-collar,married,secondary,-99,no,no,cellular,17,jul,260
39,services,divorced,secondary,282,yes,no,cellular,17,jul,243
43,technician,married,tertiary,3530,yes,no,cellular,17,jul,470
35,management,married,tertiary,489,yes,no,cellular,17,jul,109
26,technician,single,secondary,603,no,yes,cellular,17,jul,176
38,technician,divorced,secondary,1803,no,yes,cellular,17,jul,172
36,management,married,tertiary,25,yes,no,cellular,17,jul,393
33,management,single,tertiary,171,yes,no,cellular,17,jul,71
31,management,married,secondary,-453,yes,yes,cellular,17,jul,157
37,technician,married,secondary,101,no,no,cellular,17,jul,130
29,blue-collar,single,secondary,-61,no,no,cellular,17,jul,270
35,management,single,secondary,138,yes,yes,cellular,17,jul,79
34,services,married,secondary,9,yes,no,cellular,17,jul,655
35,blue-collar,married,primary,-35,yes,no,cellular,17,jul,123
45,services,single,secondary,71,yes,no,cellular,17,jul,479
38,technician,married,secondary,37,no,no,cellular,17,jul,96
27,admin.,single,unknown,5,yes,no,cellular,17,jul,225
34,management,married,tertiary,11,yes,no,cellular,17,jul,654
36,blue-collar,married,secondary,2894,yes,no,cellular,17,jul,747
32,management,divorced,tertiary,12,no,no,cellular,17,jul,321
57,admin.,married,unknown,17,no,no,cellular,17,jul,54
41,management,married,tertiary,49,yes,no,cellular,17,jul,312
27,services,single,secondary,1820,yes,no,cellular,17,jul,1027
34,management,single,tertiary,1396,yes,no,cellular,17,jul,630
29,blue-collar,single,secondary,28,no,no,cellular,17,jul,360
43,blue-collar,married,primary,255,yes,no,cellular,17,jul,180
49,blue-collar,married,secondary,825,yes,no,cellular,17,jul,22
39,management,married,secondary,363,yes,yes,cellular,17,jul,184
28,management,single,tertiary,416,yes,yes,cellular,17,jul,345
34,management,single,secondary,1360,yes,no,cellular,17,jul,506
38,technician,married,secondary,922,yes,yes,cellular,17,jul,388
59,retired,married,tertiary,6108,yes,no,cellular,17,jul,796
52,blue-collar,married,primary,336,no,yes,telephone,17,jul,381
31,services,married,secondary,-30,yes,yes,cellular,17,jul,804
45,technician,married,secondary,1081,yes,no,cellular,17,jul,127
41,services,married,primary,0,yes,no,cellular,17,jul,18
32,services,married,secondary,1844,yes,yes,cellular,17,jul,168
29,services,single,secondary,37,no,yes,cellular,17,jul,309
34,management,married,tertiary,1784,yes,no,cellular,17,jul,43
41,unemployed,divorced,secondary,142,yes,no,cellular,17,jul,353
29,admin.,married,secondary,453,yes,no,cellular,17,jul,384
32,technician,married,tertiary,231,yes,no,cellular,17,jul,177
50,blue-collar,married,secondary,84,yes,no,cellular,17,jul,18
44,services,divorced,secondary,0,no,yes,cellular,17,jul,275
33,services,married,secondary,70,no,no,cellular,17,jul,378
30,management,single,tertiary,1289,no,no,cellular,17,jul,489
34,admin.,married,tertiary,1,yes,no,cellular,17,jul,54
57,management,married,primary,2538,no,yes,telephone,17,jul,485
33,self-employed,divorced,secondary,1904,yes,no,cellular,17,jul,1584
33,management,married,secondary,94,yes,no,cellular,17,jul,62
29,management,married,tertiary,1,yes,no,cellular,17,jul,695
32,management,single,secondary,0,yes,no,cellular,17,jul,139
51,blue-collar,married,primary,201,yes,no,cellular,17,jul,582
33,admin.,married,secondary,0,yes,no,telephone,17,jul,1448
54,technician,married,primary,-1818,yes,no,cellular,17,jul,271
32,blue-collar,married,primary,2456,yes,no,cellular,17,jul,1151
49,blue-collar,married,secondary,388,no,no,telephone,17,jul,265
38,blue-collar,single,secondary,2707,yes,no,cellular,17,jul,120
42,blue-collar,married,secondary,600,no,no,cellular,17,jul,277
40,technician,married,tertiary,0,yes,no,cellular,17,jul,383
48,management,divorced,tertiary,0,no,no,cellular,17,jul,186
35,technician,married,secondary,-67,yes,no,cellular,17,jul,160
42,unemployed,divorced,primary,1699,no,yes,cellular,17,jul,207
35,services,married,secondary,-138,yes,no,telephone,17,jul,197
36,self-employed,married,tertiary,254,yes,no,telephone,17,jul,202
30,technician,single,tertiary,178,no,no,cellular,17,jul,656
40,self-employed,married,tertiary,355,yes,no,cellular,17,jul,1390
50,housemaid,married,tertiary,1005,no,no,cellular,17,jul,188
31,blue-collar,married,unknown,-120,yes,no,cellular,17,jul,231
32,management,married,tertiary,820,yes,no,cellular,17,jul,738
27,entrepreneur,single,secondary,2,yes,no,cellular,17,jul,25
29,management,married,tertiary,51,yes,no,cellular,17,jul,1319
42,entrepreneur,single,primary,388,no,yes,cellular,17,jul,606
53,retired,divorced,secondary,-477,no,no,cellular,17,jul,235
30,blue-collar,married,primary,135,yes,no,telephone,17,jul,268
57,admin.,married,primary,215,yes,yes,cellular,17,jul,210
29,management,married,tertiary,900,no,no,cellular,17,jul,275
54,blue-collar,married,primary,1298,no,no,telephone,17,jul,304
26,self-employed,married,tertiary,10005,yes,no,cellular,17,jul,84
29,technician,married,tertiary,1337,yes,no,cellular,17,jul,125
35,blue-collar,married,tertiary,1016,yes,no,cellular,17,jul,294
36,management,married,tertiary,708,yes,no,cellular,17,jul,59
36,management,divorced,tertiary,210,yes,no,cellular,17,jul,182
51,services,married,secondary,2904,yes,no,cellular,17,jul,410
50,blue-collar,married,secondary,19,no,no,cellular,17,jul,209
52,housemaid,married,primary,3798,yes,no,cellular,17,jul,1208
41,technician,married,secondary,-508,yes,yes,telephone,17,jul,124
31,management,married,tertiary,2,yes,no,cellular,17,jul,234
42,self-employed,divorced,secondary,484,yes,no,cellular,17,jul,277
45,blue-collar,married,secondary,392,yes,no,cellular,17,jul,80
26,admin.,married,secondary,5231,no,yes,cellular,17,jul,222
45,services,married,secondary,307,no,yes,cellular,17,jul,147
50,technician,single,secondary,246,yes,no,cellular,17,jul,174
42,blue-collar,divorced,primary,301,yes,no,cellular,17,jul,1175
56,housemaid,divorced,primary,864,no,no,telephone,17,jul,46
31,management,divorced,tertiary,294,yes,no,cellular,17,jul,536
26,student,single,tertiary,47,no,yes,cellular,17,jul,257
40,management,married,secondary,0,yes,no,cellular,17,jul,728
40,self-employed,married,tertiary,2977,yes,no,cellular,17,jul,1018
34,unemployed,married,secondary,2126,yes,no,cellular,17,jul,215
40,blue-collar,divorced,secondary,393,yes,yes,cellular,17,jul,291
36,admin.,married,secondary,1314,yes,no,cellular,17,jul,330
34,management,married,tertiary,118,no,yes,telephone,17,jul,171
29,technician,married,tertiary,1413,yes,no,cellular,17,jul,170
59,blue-collar,married,primary,-365,yes,no,cellular,17,jul,408
54,management,married,tertiary,364,yes,no,cellular,17,jul,301
30,management,married,tertiary,101,yes,no,cellular,17,jul,88
53,admin.,single,primary,0,yes,no,cellular,17,jul,155
54,self-employed,married,tertiary,269,yes,no,cellular,17,jul,81
40,management,married,tertiary,-117,yes,no,cellular,17,jul,770
29,services,married,secondary,23,no,no,cellular,17,jul,57
27,services,married,secondary,0,yes,no,cellular,17,jul,991
60,retired,married,secondary,-222,no,no,cellular,17,jul,82
50,technician,divorced,secondary,8016,no,no,cellular,17,jul,903
56,management,married,tertiary,171,no,yes,telephone,17,jul,610
40,technician,married,secondary,500,yes,no,cellular,17,jul,175
41,management,divorced,tertiary,107,yes,no,cellular,17,jul,122
45,management,divorced,secondary,0,no,no,cellular,17,jul,395
58,technician,married,tertiary,1692,yes,no,telephone,17,jul,517
27,blue-collar,married,secondary,0,yes,no,cellular,17,jul,444
45,management,single,tertiary,871,no,no,cellular,17,jul,230
30,blue-collar,married,primary,-199,yes,yes,telephone,17,jul,207
43,admin.,married,secondary,0,yes,no,cellular,17,jul,674
29,services,married,secondary,3220,no,no,cellular,17,jul,172
38,services,married,primary,1,yes,no,cellular,17,jul,169
27,student,single,secondary,24,yes,no,cellular,17,jul,320
27,blue-collar,divorced,unknown,2323,yes,no,cellular,17,jul,153
47,technician,married,secondary,1059,yes,no,cellular,17,jul,154
49,housemaid,married,primary,0,yes,no,cellular,17,jul,51
35,admin.,married,secondary,449,yes,no,cellular,17,jul,43
29,unemployed,married,secondary,-25,yes,no,cellular,17,jul,143
35,housemaid,married,tertiary,20,yes,yes,cellular,17,jul,505
56,retired,divorced,secondary,212,no,yes,telephone,17,jul,27
34,blue-collar,married,primary,151,yes,no,cellular,17,jul,546
37,management,married,tertiary,0,no,no,cellular,17,jul,91
34,services,married,secondary,0,yes,no,cellular,17,jul,75
44,blue-collar,single,secondary,292,no,yes,cellular,17,jul,1153
28,technician,married,tertiary,858,yes,no,cellular,17,jul,602
31,services,married,secondary,71,yes,no,cellular,17,jul,740
57,management,divorced,tertiary,2549,no,no,cellular,17,jul,193
47,admin.,married,secondary,1808,no,yes,cellular,17,jul,125
52,housemaid,married,primary,994,no,no,cellular,17,jul,188
55,housemaid,married,primary,0,yes,no,cellular,17,jul,1303
29,technician,married,tertiary,1535,yes,no,cellular,17,jul,134
41,management,single,tertiary,0,yes,no,cellular,17,jul,509
36,blue-collar,single,secondary,641,yes,no,cellular,17,jul,735
54,blue-collar,single,secondary,40,yes,no,cellular,18,jul,172
34,blue-collar,single,secondary,39,no,no,cellular,18,jul,138
28,admin.,single,secondary,-39,no,yes,cellular,18,jul,64
33,admin.,single,secondary,92,no,no,cellular,18,jul,157
31,services,married,secondary,1670,no,no,cellular,18,jul,185
40,technician,married,tertiary,5152,yes,yes,cellular,18,jul,121
49,management,divorced,tertiary,100,yes,yes,cellular,18,jul,156
34,management,single,tertiary,21,yes,no,cellular,18,jul,74
31,blue-collar,married,secondary,64,yes,no,cellular,18,jul,302
45,services,married,secondary,144,no,no,cellular,18,jul,95
46,blue-collar,divorced,secondary,709,yes,no,cellular,18,jul,100
33,management,married,tertiary,3,yes,no,cellular,18,jul,163
34,entrepreneur,married,secondary,393,yes,no,cellular,18,jul,172
40,entrepreneur,divorced,secondary,2998,yes,no,cellular,18,jul,623
54,technician,single,tertiary,467,yes,no,cellular,18,jul,674
43,management,single,secondary,-1164,yes,yes,cellular,18,jul,76
46,housemaid,divorced,primary,2084,yes,no,cellular,18,jul,1081
42,admin.,married,secondary,976,yes,no,cellular,18,jul,69
34,technician,married,secondary,652,yes,yes,cellular,18,jul,50
46,self-employed,married,secondary,567,no,no,cellular,18,jul,142
60,retired,divorced,secondary,0,no,no,cellular,18,jul,91
43,management,married,unknown,624,yes,no,cellular,18,jul,400
51,blue-collar,married,secondary,598,yes,no,telephone,18,jul,53
31,admin.,single,tertiary,98,no,yes,cellular,18,jul,85
52,technician,divorced,tertiary,0,no,no,cellular,18,jul,454
43,management,married,tertiary,1050,yes,yes,cellular,18,jul,67
35,admin.,single,secondary,111,yes,no,cellular,18,jul,127
45,management,married,tertiary,-191,yes,no,cellular,18,jul,178
51,technician,married,secondary,428,no,yes,cellular,18,jul,145
32,admin.,married,secondary,280,yes,no,cellular,18,jul,59
34,management,married,tertiary,1602,yes,no,cellular,18,jul,287
58,blue-collar,divorced,primary,474,yes,yes,cellular,18,jul,85
52,technician,married,secondary,2102,yes,no,cellular,18,jul,292
46,entrepreneur,married,secondary,0,no,yes,cellular,18,jul,115
46,housemaid,married,primary,238,no,yes,cellular,18,jul,85
31,technician,divorced,secondary,202,yes,no,cellular,18,jul,146
48,technician,single,secondary,2374,no,no,cellular,18,jul,83
46,self-employed,single,secondary,69,no,yes,cellular,18,jul,103
30,management,single,tertiary,502,no,yes,cellular,18,jul,572
30,services,divorced,primary,459,yes,no,cellular,18,jul,494
35,unemployed,married,tertiary,-94,yes,no,cellular,18,jul,354
41,management,married,tertiary,397,yes,no,cellular,18,jul,91
56,blue-collar,divorced,primary,-1,no,no,cellular,18,jul,304
45,management,married,tertiary,726,yes,yes,cellular,18,jul,199
33,services,married,tertiary,1275,yes,no,cellular,18,jul,191
32,services,divorced,secondary,454,yes,no,cellular,18,jul,978
27,services,married,secondary,891,yes,no,cellular,18,jul,240
33,services,single,secondary,3269,no,yes,cellular,18,jul,316
56,technician,divorced,secondary,179,no,no,cellular,18,jul,536
34,services,married,secondary,-102,yes,no,cellular,18,jul,185
53,services,married,secondary,1378,yes,no,cellular,18,jul,91
48,management,married,tertiary,192,no,yes,cellular,18,jul,268
30,management,divorced,tertiary,106,yes,no,cellular,18,jul,149
31,blue-collar,single,secondary,1291,yes,no,cellular,18,jul,72
32,blue-collar,divorced,primary,174,yes,no,telephone,18,jul,11
35,management,married,tertiary,552,yes,yes,cellular,18,jul,222
52,technician,married,secondary,383,no,yes,cellular,18,jul,135
30,management,married,tertiary,593,yes,yes,cellular,18,jul,412
31,student,single,tertiary,117,yes,no,telephone,18,jul,41
28,blue-collar,married,secondary,2378,yes,yes,cellular,18,jul,800
44,blue-collar,divorced,secondary,427,yes,no,cellular,18,jul,151
47,admin.,married,secondary,-185,yes,no,cellular,18,jul,84
27,services,single,secondary,-124,no,no,cellular,18,jul,217
36,management,married,tertiary,1584,yes,no,cellular,18,jul,178
34,blue-collar,single,secondary,1239,yes,no,cellular,18,jul,90
59,blue-collar,married,secondary,-139,no,no,cellular,18,jul,33
59,technician,married,tertiary,0,no,no,cellular,18,jul,274
43,management,married,tertiary,704,no,no,cellular,18,jul,116
47,admin.,married,secondary,26,no,yes,cellular,18,jul,71
34,blue-collar,single,secondary,4963,yes,no,cellular,18,jul,226
33,blue-collar,married,secondary,661,yes,no,cellular,18,jul,968
35,technician,married,secondary,513,yes,no,cellular,18,jul,377
31,management,married,tertiary,557,yes,no,cellular,18,jul,111
29,services,single,secondary,-308,no,no,cellular,18,jul,113
25,admin.,married,secondary,18,yes,no,cellular,18,jul,225
29,blue-collar,married,secondary,-643,yes,no,cellular,18,jul,277
45,admin.,married,secondary,373,no,yes,cellular,18,jul,274
34,technician,married,secondary,351,yes,no,cellular,18,jul,467
40,services,divorced,secondary,49,no,yes,cellular,18,jul,191
31,technician,married,secondary,-367,yes,no,cellular,18,jul,474
30,services,single,secondary,114,no,yes,cellular,18,jul,110
59,retired,married,secondary,-2,no,yes,cellular,18,jul,102
26,blue-collar,married,secondary,-384,yes,yes,cellular,18,jul,143
31,management,single,tertiary,3142,yes,no,cellular,18,jul,164
29,entrepreneur,married,secondary,-388,yes,no,cellular,18,jul,411
30,services,single,secondary,-366,yes,no,cellular,18,jul,516
29,entrepreneur,married,primary,519,yes,no,cellular,18,jul,120
29,technician,single,secondary,28,yes,no,cellular,18,jul,203
47,management,married,tertiary,122,no,yes,cellular,18,jul,73
38,services,married,unknown,10189,yes,no,cellular,18,jul,482
29,self-employed,married,tertiary,1,no,no,cellular,18,jul,167
44,management,married,secondary,3286,yes,no,cellular,18,jul,569
30,entrepreneur,married,tertiary,501,yes,no,cellular,18,jul,94
33,blue-collar,married,secondary,89,yes,no,cellular,18,jul,278
51,entrepreneur,divorced,tertiary,23,yes,no,cellular,18,jul,177
43,management,married,tertiary,0,no,no,cellular,18,jul,110
57,technician,divorced,secondary,1244,yes,no,cellular,18,jul,383
31,management,single,tertiary,3981,yes,no,cellular,18,jul,286
43,technician,single,tertiary,317,yes,no,cellular,18,jul,106
50,blue-collar,married,secondary,1498,yes,no,cellular,18,jul,223
30,blue-collar,single,secondary,183,yes,no,cellular,18,jul,610
51,blue-collar,married,secondary,145,no,yes,cellular,18,jul,313
29,admin.,single,secondary,-133,no,no,cellular,18,jul,108
26,technician,married,tertiary,192,yes,no,cellular,18,jul,116
36,management,married,tertiary,635,yes,no,cellular,18,jul,359
46,admin.,divorced,primary,505,no,yes,cellular,18,jul,119
31,management,married,tertiary,1164,yes,yes,cellular,18,jul,238
27,management,married,tertiary,33,yes,no,cellular,18,jul,337
39,admin.,married,secondary,-234,no,yes,cellular,18,jul,75
34,management,married,tertiary,303,yes,no,cellular,18,jul,226
58,services,divorced,secondary,-158,no,no,telephone,18,jul,11
27,admin.,married,secondary,283,yes,no,cellular,18,jul,483
28,management,single,secondary,-994,yes,yes,cellular,18,jul,174
28,admin.,married,secondary,5,yes,no,cellular,18,jul,121
33,management,single,secondary,239,yes,yes,cellular,18,jul,47
32,technician,married,secondary,95,no,yes,cellular,18,jul,308
32,self-employed,married,primary,102,yes,no,cellular,18,jul,560
28,admin.,married,secondary,17,yes,no,cellular,18,jul,269
57,retired,married,primary,1623,yes,yes,cellular,18,jul,246
41,blue-collar,divorced,primary,138,yes,no,cellular,18,jul,640
27,self-employed,single,tertiary,5,no,yes,cellular,18,jul,384
31,admin.,single,secondary,-429,no,yes,cellular,18,jul,292
39,admin.,divorced,unknown,64,yes,no,cellular,18,jul,147
34,management,divorced,tertiary,1173,no,yes,cellular,18,jul,93
33,technician,single,tertiary,81,no,no,cellular,18,jul,287
34,blue-collar,married,tertiary,631,yes,no,cellular,18,jul,25
33,management,married,tertiary,4149,no,yes,cellular,18,jul,159
30,management,married,tertiary,4145,yes,yes,cellular,18,jul,302
30,services,married,secondary,-27,yes,no,cellular,18,jul,65
52,unemployed,married,tertiary,2133,no,yes,cellular,18,jul,90
51,services,married,secondary,0,no,no,cellular,18,jul,439
48,technician,married,tertiary,2392,yes,no,cellular,18,jul,133
32,technician,married,secondary,-203,yes,no,cellular,18,jul,67
48,housemaid,divorced,primary,1583,no,yes,telephone,18,jul,494
31,admin.,single,secondary,738,yes,no,cellular,18,jul,381
33,management,single,secondary,-85,yes,no,cellular,18,jul,96
32,management,single,tertiary,2343,no,no,cellular,18,jul,226
36,housemaid,divorced,secondary,181,yes,no,cellular,18,jul,354
39,blue-collar,divorced,secondary,241,yes,no,cellular,18,jul,117
53,management,divorced,primary,-17,yes,yes,cellular,18,jul,508
31,admin.,single,secondary,622,no,no,cellular,18,jul,420
30,management,married,tertiary,107,yes,yes,cellular,18,jul,263
30,admin.,divorced,secondary,10,yes,no,cellular,18,jul,658
27,admin.,married,secondary,53,yes,no,cellular,18,jul,362
37,housemaid,married,secondary,-205,no,yes,cellular,18,jul,199
25,management,single,tertiary,0,no,yes,cellular,18,jul,342
48,technician,married,secondary,-280,yes,yes,cellular,18,jul,300
46,self-employed,married,primary,5442,yes,no,cellular,18,jul,115
30,technician,married,secondary,24,yes,no,cellular,18,jul,112
31,management,married,tertiary,1720,yes,yes,cellular,18,jul,104
45,services,married,secondary,24,yes,no,cellular,18,jul,111
36,self-employed,married,tertiary,16,yes,yes,cellular,18,jul,95
